week_of,day,brand,pillar,platform(s),format,hook/idea,asset_status,caption_status,scheduled,owner,notes
2026-05-25,Mon,Nisria,Impact,"IG,FB",Reel,Beneficiary outcome (consented),todo,todo,no,,from hero piece
2026-05-25,Mon,Maisha,Behind-the-scenes,"IG,TikTok",Short video,Field visit clip,todo,todo,no,,
2026-05-25,Mon,AHADI,Brand/mission,"IG,Pinterest",Quote card,Promise/value of the week,todo,todo,no,,
2026-05-25,Tue,Nisria,Education,"LinkedIn,FB",Carousel,"The need, in 5 stats",todo,todo,no,,blog cross-post
2026-05-25,Tue,Maisha,Impact,"IG,FB,LinkedIn",Carousel,Story of daily life,todo,todo,no,,
2026-05-25,Wed,Nisria,Gratitude,"IG,FB",Story,Donor spotlight / thank-you,todo,todo,no,,
2026-05-25,Wed,AHADI,Education,"IG,TikTok",Short video,Why this matters,todo,todo,no,,
2026-05-25,Thu,Nisria,Behind-the-scenes,"IG,YouTube,TikTok",Short video,Kenya team at work,todo,todo,no,,
2026-05-25,Thu,Maisha,Call-to-action,"IG,FB",Reel,"Donate / volunteer ask + proof",todo,todo,no,,
2026-05-25,Fri,Nisria,Call-to-action,"IG,FB,LinkedIn",Carousel,Weekly ask + impact recap,todo,todo,no,,ties to newsletter
2026-05-25,Fri,AHADI,Gratitude,"IG,Pinterest",Quote card,Milestone met,todo,todo,no,,
2026-05-25,Sat,Nisria,Brand/mission,"IG,Pinterest,TikTok",Reel,Mission moment,todo,todo,no,,
2026-05-25,Sat,Maisha,Education,"IG,Pinterest",Carousel,Myth vs fact,todo,todo,no,,
2026-05-25,Sun,Nisria,Impact,"IG,FB",Story,Week-in-review highlight,todo,todo,no,,
2026-05-25,Sun,Maisha,Brand/mission,"IG,TikTok",Short video,Hope / continuity,todo,todo,no,,
